Change Component Footprint: Designator=D? Old Footprint=New footprint 1 New Footprint=New footprint 1
Change component parameters: Designator = "R?" ("R?"); Footprint = "AXIAL-0.3"; UniqueID = "\DIBBSXYU" ("\DIBBSXYU")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "220"; VariantName = "[No Variations]"
Added Component: Designator=D?(New footprint 1)
Added Component: Designator=D?(New footprint 1)
Added Component: Designator=D?(New footprint 1)
Added Component: Designator=DS?(AVAG-HLMP-4740)
Add component (AddParameter): Name = "Category"; Value = "LEDs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Green"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://docs.avagotech.com/docs/AV02-1557EN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "07/2014"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dominant Wavelength/Color Temperature"; Value = "569nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Intensity"; Value = "2.3mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Appearance"; Value = "ColoredDiffused"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Shape Type"; Value = "Circular"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "AvagoTechnologies"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.avagotech.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting"; Value = "ThroughHole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Orientation"; Value = "TopMount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "ThroughHole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of LEDs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "2T-13/4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Through Hole Device, Dia 5.845 mm, Pitch 2.54 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "HLMP-4740"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Wavelength"; Value = "565nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rad Hard"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Uni-Color"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Viewing Angle"; Value = "50°"; VariantName = "[No Variations]"
Added Component: Designator=DS?(AVAG-HLMP-4740)
Add component (AddParameter): Name = "Category"; Value = "LEDs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Green"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://docs.avagotech.com/docs/AV02-1557EN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "07/2014"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dominant Wavelength/Color Temperature"; Value = "569nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Intensity"; Value = "2.3mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Appearance"; Value = "ColoredDiffused"; VariantName = "[No Variations]"
